"T","N","M","Result","FIGO"
"ANY","ANY","M1","IVB","IVB"
"T0","N1","M0","IIIB","IIIB"
"T1a1","N0","M0","IA1","IA1"
"T1a1","N1","M0","IIIB","IIIB"
"T1a2","N0","M0","IA2","IA2"
"T1a2","N1","M0","IIIB","IIIB"
"T1a","N0","M0","IA","IA"
"T1a","N1","M0","IIIB","IIIB"
"T1b1","N0","M0","IB1","IB1"
"T1b1","N1","M0","IIIB","IIIB"
"T1b2","N0","M0","IB2","IB2"
"T1b2","N1","M0","IIIB","IIIB"
"T1b","N0","M0","IB","IB"
"T1b","N1","M0","IIIB","IIIB"
"T1","N0","M0","I","I"
"T1","N1","M0","IIIB","IIIB"
"T2a1","N0","M0","IIA1","IIA1"
"T2a1","N1","M0","IIIB","IIIB"
"T2a2","N0","M0","IIA2","IIA2"
"T2a2","N1","M0","IIIB","IIIB"
"T2a","N0","M0","IIA","IIA"
"T2a","N1","M0","IIIB","IIIB"
"T2b","N0","M0","IIB","IIB"
"T2b","N1","M0","IIIB","IIIB"
"T2","N0","M0","II","II"
"T2","N1","M0","IIIB","IIIB"
"T3a","N0","M0","IIIA","IIIA"
"T3a","N1","M0","IIIB","IIIB"
"T3a","NX","M0","III","III"
"T3b","N0","M0","IIIB","IIIB"
"T3b","N1","M0","IIIB","IIIB"
"T3b","NX","M0","IIIB","IIIB"
"T3","N0","M0","III","III"
"T3","N1","M0","IIIB","IIIB"
"T3","NX","M0","III","III"
"T4","ANY","M0","IVA","IVA"
