"Field","DataType","DisplayText","Group","Colour"
"Size","Number","Enter size of invasive tumour (cm)","1",
"Bronchus","Dictionary","Bronchial invasion","2",
"Pleura","Boolean","Invades the visceral pleura","2",
"Atelectasis","Boolean","Atelectasis or obstructive pneumonitis (NOT entire lung)","2",
"ChestWall","Boolean","Tumour invades chest wall or rib","3",
"Diaphragm","Boolean","     ---     diaphragm","3",
"Phrenic","Boolean","     ---     phrenic nerve","3",
"MediastPleura","Boolean","     ---     mediastinal pleura","3",
"Pericardium","Boolean","     ---     parietal pericardium","3",
"AtelectasisAll","Boolean","Atelectasis or obstructive pneumonitis of the entire lung","3",
"NodulesT3","Boolean","Separate tumour nodules in same lobe","3",
"Vocal","Boolean","Vocal cord paralysis","4",
"Mediastinum","Boolean","Tumour invades mediastinum","4",
"Vessels","Boolean","Tumour invades heart or great vessels","4",
"Vertebra","Boolean","Tumour invades vertebral body","4",
"Oesophagus","Boolean","Tumour invades oesophagus","4",
"Foci","Boolean","Pleural tumour foci (NOT due to direct pleural invasion by primary tumour)","4",
"NodulesT4","Boolean","Separate tumour nodule(s) in a different ipsilateral lobe","4",
